S_no,runNumber,eventNumber,channelNumber,mcWeight,pvxp_n,vxp_z,ScaleFactor_PILEUP,ScaleFactor_ELE,scaleFactor_MUON,scaleFactor_BTAG,scaleFactor_TRIGGER,scaleFactor_JVFSF,scaleFactor_ZVERTEX,trigE,trigM,passGRL,hasGoodVertex,lep_n,met_et,met_phi,jet_n,alljet_n
33,195847,25084,105986,1,9,-67.29624,2.0969262,1,0.99574214,0.8951281,0.9884307,1,0.9713046,0,10,10,10,2,16014.831,-1.0791878,1,1
34,195847,25086,105986,1,8,81.20393,2.0969262,0.90737885,1,1,0.99986184,1,0.59425586,10,0,10,10,2,33811.715,1.857824,0,0
35,195847,25087,105986,1,7,-54.49838,2.0969262,1.0216131,1,0.94902116,0.9850686,1,1.1175933,10,0,10,10,1,45063.082,2.9801886,3,3
36,195847,25088,105986,1,12,-110.3007,2.0969262,1,1.0049515,1,1.0433931,1,0.48782375,0,10,10,10,2,19284.668,-1.7163876,0,1
37,195847,25089,105986,1,12,21.980799,2.0969262,1,0.99382305,0.99599546,0.9989482,1,1.2391089,0,10,10,10,2,39457.02,-0.59058094,2,2
38,195847,25090,105986,1,10,-66.32597,2.0969262,0.91831875,1,1.1474309,0.9996198,1,0.9883748,10,0,10,10,2,45147.59,-2.1417074,2,2
39,195847,25091,105986,1,11,-25.736076,2.0969262,1,1.0008036,0.99784356,0.89901733,1,1.3313196,0,10,10,10,2,20130.797,2.9366899,1,1
40,195847,25092,105986,1,11,17.29415,2.0969262,0.96112,1.0013317,0.9508408,1.0313224,1,1.2720948,0,10,10,10,3,62137.17,-2.0159721,2,3
41,195847,25093,105986,1,8,-87.54025,2.0969262,0.86136377,1,0.9981024,0.9999049,1,0.7366348,10,0,10,10,3,23138.215,1.4526354,1,1
42,195847,25094,105986,1,11,-28.322912,2.0969262,1,1.0035812,1,1.0565994,1,1.3196601,0,10,10,10,1,105267.46,-1.160219,0,1
43,195847,25097,105986,1,8,5.6128373,2.0969262,1,1.0051855,1.0745089,1.0064576,1,1.335458,0,10,10,10,2,44203.203,2.8512723,2,2
44,195847,25098,105986,1,7,-106.70334,2.0969262,0.9151156,1,1,0.999839,1,0.5239232,10,0,10,10,2,81440.1,2.0000386,0,0
45,195847,25101,105986,1,8,-52.392334,2.0969262,1,0.9944625,0.9979856,1.0027115,1,1.1374766,0,10,10,10,2,74588.92,2.8017077,1,1
46,195847,25102,105986,1,9,-24.291546,2.0969262,0.95965135,1,1,0.99939185,1,1.3375567,10,0,10,10,2,60386.2,-0.26667744,0,0
47,195847,25104,105986,1,17,-101.18004,2.0969262,1,0.99904525,0.9024076,0.99683577,1,0.5829013,0,10,10,10,2,31709.52,-1.7416815,3,3
48,195847,25106,105986,1,11,27.310867,2.0969262,0.95108414,0.9975806,0.9984176,1.0013894,1,1.1933149,10,10,10,10,2,20531.031,2.4415154,1,1
49,195847,25108,105986,1,9,0.8152732,2.0969262,0.9757683,1,0.99999243,0.9995753,1,1.3527057,10,0,10,10,2,63368.973,0.6225517,1,2
50,195847,25109,105986,1,9,71.09658,2.0969262,1,0.99427474,1,0.89901733,1,0.70762926,0,10,10,10,1,58291.33,-1.5221791,0,2
